closing-price,sentiment-score,sentiment-change,price-change,unix-time
129.14,0.96906,0,0,1614330000
126.39,1.44858,0.46953,-1.23,1614331800
125.98,0.96906,-0.46953,-0.76,1614333600
126.01,0.49953,-0.46953,0.55,1614335400
127.24,0.96906,0.46953,-0.02,1614337200
126.06,3.79623,2.82717,-0.05,1614339000
127.1,2.85717,-0.93906,0.42,1614340800
126.59,0.96906,-1.88811,0.06,1614342600
128.2,-0.90906,-1.88811,0.33,1614344400
127,1.44858,2.35764,-0.1,1614346200
127.05,-0.90906,-2.35764,-0.37,1614348000
125.91,0.49953,1.41858,-0.35,1614349800
126.53,0.49953,0,-0.49,1614351600
125.18,0.96906,0.46953,-0.16,1614353400
125.97,2.38764,1.41858,0.17,1614355200
125.32,1.91811,-0.46953,0,1614357000
126.32,0.49953,-1.41858,-0.13,1614394800
123.85,0.03,-0.46953,-1.1,1614396600
124.03,0.03,0,-0.24,1614398400
121.59,0.96906,0.93906,-1.46,1614400200
122.93,0.03,-0.93906,0.1,1614402000
122.34,0.96906,0.93906,0.44,1614403800
123.75,2.38764,1.41858,0.68,1614405600
123,0.96906,-1.41858,-0.05,1614407400
123.83,0.49953,-0.46953,-0.33,1614409200
122.52,1.44858,0.93906,-0.16,1614411000
123.38,2.85717,1.41858,0.29,1614412800
122.11,1.44858,-1.41858,-0.53,1614414600
122.03,0.96906,-0.46953,-1,1614416400
122.16,1.91811,0.93906,0.96,1614418200
123.42,1.91811,0,0.58,1614420000
122.09,1.44858,-0.46953,-0.52,1614421800
122.45,0.03,-1.41858,-0.71,1614423600
121.81,-0.43953,-0.46953,0.4,1614425400
121.85,2.38764,2.82717,-0.42,1614427200
122.7,1.91811,-0.46953,1.21,1614429000
124.71,2.38764,0.46953,0.67,1614430800
124.13,0.49953,-1.88811,0.38,1614432600
125.51,2.85717,2.35764,0.7,1614434400
125.91,2.85717,0,0.79,1614436200
126.27,0.49953,-2.35764,-0.66,1614438000
124.83,0.49953,0,-0.23,1614439800
125.16,0.49953,0,-0.18,1614441600
124.86,1.91811,1.41858,0.29,1614443400
125.98,0.03,-1.88811,-0.09,1614445200
124.62,0.03,0,-0.2,1614447000
125.55,0.49953,0.46953,0.34,1614448800
124.44,1.44858,0.93906,-0.39,1614450600
125.88,0.03,-1.41858,0.2,1614481200
125.73,0.03,0,0.72,1614483000
126.14,0.49953,0.46953,-0.08,1614484800
125.52,0.03,-0.46953,0.04,1614486600
126.73,0.49953,0.46953,-0.03,1614488400
125.47,1.91811,1.41858,-0.09,1614490200
125.71,-0.43953,-2.35764,-0.25,1614492000
125.81,0.03,0.46953,0.58,1614493800
127.49,0.49953,0.46953,0.39,1614495600
125.74,2.38764,1.88811,-0.53,1614497400
124.81,0.49953,-1.88811,-1.1,1614499200
124.4,0.96906,0.46953,0.14,1614501000
123.66,2.85717,1.88811,-1.55,1614502800
123.01,0.49953,-2.35764,0.39,1614504600
124.18,0.96906,0.46953,0.48,1614506400
123.85,1.91811,0.93906,0.27,1614508200
125.11,-0.43953,-2.35764,0,1614510000
124.36,0.03,0.46953,0.27,1614511800
124.17,0.96906,0.93906,-0.54,1614513600
123.79,0.03,-0.93906,0.17,1614515400
125.22,0.96906,0.93906,0.2,1614517200
123.86,0.49953,-0.46953,-0.23,1614519000
124.4,2.38764,1.88811,0,1614520800
124.11,0.96906,-1.41858,0.3,1614522600
125.81,0.03,-0.93906,0.35,1614524400
124.93,0.03,0,0.2,1614526200
125.01,0.96906,0.93906,-0.38,1614528000
