closing_price,sentiment_score,sentiment_change,price_change,unix_time
129.14,1.44858,0,0,1622106000
126.39,-7.51245,-8.95104,-1.23,1622107800
125.98,-5.15481,2.35764,-0.76,1622109600
126.01,2.38764,7.54245,0.55,1622111400
127.24,0.49953,-1.88811,-0.02,1622113200
126.06,0.49953,0,-0.05,1622115000
127.1,0.03,-0.46953,0.42,1622116800
126.59,0.49953,0.46953,0.06,1622118600
128.2,-0.43953,-0.93906,0.33,1622120400
127,2.85717,3.2967,-0.1,1622122200
127.05,-1.85811,-4.71528,-0.37,1622124000
125.91,-0.43953,1.41858,-0.35,1622125800
126.53,3.3267,3.76623,-0.49,1622127600
125.18,0.96906,-2.35764,-0.16,1622129400
125.97,-0.43953,-1.41858,0.17,1622131200
125.32,0.96906,1.41858,0,1622133000
126.32,0.49953,-0.46953,-0.13,1622170800
123.85,0.03,-0.46953,-1.1,1622172600
124.03,-2.32764,-2.35764,-0.24,1622174400
121.59,0.03,2.35764,-1.46,1622176200
122.93,0.49953,0.46953,0.1,1622178000
122.34,-0.43953,-0.93906,0.44,1622179800
123.75,2.38764,2.82717,0.68,1622181600
123,0.03,-2.35764,-0.05,1622183400
123.83,1.44858,1.41858,-0.33,1622185200
122.52,-0.90906,-2.35764,-0.16,1622187000
123.38,0.03,0.93906,0.29,1622188800
122.11,-0.43953,-0.46953,-0.53,1622190600
122.03,2.85717,3.2967,-1,1622192400
122.16,1.44858,-1.41858,0.96,1622194200
123.42,-0.43953,-1.88811,0.58,1622196000
122.09,2.38764,2.82717,-0.52,1622197800
122.45,-0.90906,-3.2967,-0.71,1622199600
121.81,0.03,0.93906,0.4,1622201400
121.85,-0.90906,-0.93906,-0.42,1622203200
122.7,0.03,0.93906,1.21,1622205000
124.71,1.91811,1.88811,0.67,1622206800
124.13,1.91811,0,0.38,1622208600
125.51,0.49953,-1.41858,0.7,1622210400
125.91,3.79623,3.2967,0.79,1622212200
126.27,-0.90906,-4.71528,-0.66,1622214000
124.83,1.44858,2.35764,-0.23,1622215800
125.16,1.44858,0,-0.18,1622217600
124.86,0.96906,-0.46953,0.29,1622219400
125.98,0.49953,-0.46953,-0.09,1622221200
124.62,0.03,-0.46953,-0.2,1622223000
125.55,0.96906,0.93906,0.34,1622224800
124.44,1.91811,0.93906,-0.39,1622226600
125.88,0.49953,-1.41858,0.2,1622257200
125.73,-0.43953,-0.93906,0.72,1622259000
126.14,0.49953,0.93906,-0.08,1622260800
