closing_price,sentiment_score,sentiment_change,price_change,unix_time
174.53,-0.90906,0,0,1622106000
171.11,0.96906,1.88811,-4.94,1622107800
170.75,0.03,-0.93906,-2.03,1622109600
170.76,1.44858,1.41858,1.53,1622111400
172.99,0.03,-1.41858,2.28,1622113200
171.67,0.96906,0.93906,-0.48,1622115000
171.92,0.49953,-0.46953,-0.59,1622116800
171.2,0.03,-0.46953,-0.2,1622118600
173.2,-0.43953,-0.46953,1.81,1622120400
172.76,1.91811,2.35764,1.42,1622122200
174.34,0.03,-1.88811,2.3,1622124000
172.32,0.49953,0.46953,-2.91,1622125800
174.43,-0.43953,-0.93906,1.95,1622127600
175.12,2.85717,3.2967,3.88,1622129400
175.43,0.49953,-2.35764,-0.48,1622131200
174.37,0.03,-0.46953,-0.87,1622133000
174.43,0.03,0,-2.38,1622170800
174.63,0.49953,0.46953,2.77,1622172600
174,0.96906,0.46953,-2.39,1622174400
171.45,-0.90906,-1.88811,-4.12,1622176200
172.23,0.03,0.93906,-0.96,1622178000
170.83,1.91811,1.88811,-0.64,1622179800
172.11,0.49953,-1.41858,1.67,1622181600
172.22,0.03,-0.46953,1.7,1622183400
172.45,0.49953,0.46953,-2.18,1622185200
172.58,0.49953,0,2.78,1622187000
172.3,0.03,-0.46953,-1.74,1622188800
172.26,0.49953,0.46953,1.3,1622190600
172,0.49953,0,-3.19,1622192400
170.77,-0.43953,-0.93906,-0.32,1622194200
171.35,0.49953,0.93906,0.11,1622196000
170.69,0.49953,0,-0.01,1622197800
171.66,0.03,-0.46953,-0.57,1622199600
170.85,0.03,0,0.69,1622201400
170.91,0.03,0,-1.09,1622203200
171.12,0.03,0,1.96,1622205000
172.61,0.49953,0.46953,0.66,1622206800
172.25,0.03,-0.46953,1.62,1622208600
172.6,0.96906,0.93906,-0.36,1622210400
171.82,-0.43953,-1.41858,-0.33,1622212200
173.23,0.49953,0.93906,0.44,1622214000
172.27,0.49953,0,0.33,1622215800
171.07,1.44858,0.93906,-3.84,1622217600
170.23,0.03,-1.41858,-0.42,1622219400
171.43,0.49953,0.46953,-0.04,1622221200
170.83,0.49953,0,1.15,1622223000
171.71,0.49953,0,0.82,1622224800
170.73,0.03,-0.46953,-0.8,1622226600
173.4,0.03,0,3.35,1622257200
171.33,0.03,0,-2.16,1622259000
171.58,0.03,0,-0.63,1622260800
171.22,0.03,0,0.66,1622262600
172.42,0.03,0,-0.04,1622264400
171.32,0.49953,0.46953,0.03,1622266200
172.11,0.03,-0.46953,0.55,1622268000
171.42,0.03,0,-0.1,1622269800
173,0.03,0,0.86,1622271600
171.58,-0.43953,-0.46953,-0.74,1622273400
172.46,0.96906,1.41858,0.81,1622275200
172.44,0.49953,-0.46953,1.34,1622277000
175.17,0.49953,0,3.35,1622278800
174.34,0.49953,0,0.6,1622280600
176.72,0.49953,0,3.87,1622282400
175.21,0.49953,0,-1.73,1622284200
177.32,0.49953,0,1.83,1622286000
176.03,0.96906,0.46953,-0.38,1622287800
176.16,1.44858,0.46953,-0.78,1622289600
175.71,0.49953,-0.93906,0.35,1622291400
177.85,0.49953,0,1.93,1622293200
177.06,0.03,-0.46953,0.59,1622295000
181.13,0.96906,0.93906,7.11,1622296800
193.2,0.96906,0,23.65,1622298600
209.55,0.49953,-0.46953,22.69,1622300400
245.64,0.49953,0,45.42,1622302200
279.99,-1.38858,-1.88811,28.27,1622304000
273.82,0.96906,2.35764,-3.63,1622305800
276.29,2.38764,1.41858,0.88,1622307600
283.33,0.49953,-1.88811,5.42,1622309400
299.37,3.3267,2.82717,9.87,1622311200
320.42,5.68434,2.35764,12.49,1622313000
288.02,1.44858,-4.24575,-17.39,1622343600
263.36,0.03,-1.41858,-14.58,1622345400
258.86,1.44858,1.41858,-3.69,1622347200
269.22,0.96906,-0.46953,8.34,1622349000
272.93,2.38764,1.41858,1.71,1622350800
269.04,4.27575,1.88811,-1.92,1622352600
285.36,2.38764,-1.88811,11.05,1622354400
272.02,0.96906,-1.41858,-8,1622356200
281.43,-0.90906,-1.88811,5.63,1622358000
277.92,1.91811,2.82717,-1.59,1622359800
282.66,2.38764,0.46953,2.79,1622361600
279.22,1.91811,-0.46953,-1.76,1622363400
247.86,1.91811,0,-21.24,1622365200
252.41,3.79623,1.88811,4.71,1622367000
268.1,4.74528,0.93906,11.96,1622368800
263.82,4.27575,-0.46953,-2.59,1622370600
262.78,0.96906,-3.2967,-1.6,1622372400
272.5,5.21481,4.24575,7.93,1622374200
299.85,3.3267,-1.88811,18.31,1622376000
299.93,0.96906,-2.35764,0.38,1622377800
281.83,3.79623,2.82717,-11.17,1622379600
273.04,4.27575,0.46953,-4.92,1622381400
277,2.85717,-1.41858,2.29,1622383200
268,3.79623,0.93906,-5.52,1622385000
242.43,1.91811,-1.88811,-18.85,1622386800
230.03,4.27575,2.35764,-9.9,1622388600
230.86,0.96906,-3.2967,0.31,1622390400
236.97,0.96906,0,6.45,1622392200
229.53,0.96906,0,-7.77,1622394000
228.73,1.91811,0.93906,0.26,1622395800
234.76,-2.32764,-4.24575,5.41,1622397600
239.22,0.49953,2.82717,4.75,1622399400
247.23,-0.90906,-1.41858,5.97,1622430000
245.73,1.91811,2.82717,-0.3,1622431800
243.51,0.49953,-1.41858,-2.32,1622433600
244.04,0.03,-0.46953,1,1622435400
247.93,2.38764,2.35764,2.29,1622437200
245.13,0.96906,-1.41858,-1.43,1622439000
245.86,0.49953,-0.46953,0.19,1622440800
254.09,0.96906,0.46953,7.41,1622442600
250.04,-1.38858,-2.35764,-4.14,1622444400
248.6,0.49953,1.88811,-0.24,1622446200
251.91,-0.90906,-1.41858,2.23,1622448000
252.22,1.44858,2.35764,0.79,1622449800
253.99,0.49953,-0.93906,0.41,1622451600
245.41,1.91811,1.41858,-5.95,1622453400
252.35,1.91811,0,5.4,1622455200
243.06,1.91811,0,-6.91,1622457000
235.85,1.44858,-0.46953,-7.16,1622458800
219.49,1.44858,0,-14.09,1622460600
216.33,2.38764,0.93906,-3.99,1622462400
229.64,0.03,-2.35764,15.64,1622464200
230.34,2.85717,2.82717,-0.52,1622466000
228.68,1.44858,-1.41858,-0.51,1622467800
247.82,0.96906,-0.46953,18.14,1622469600
237.28,-0.43953,-1.41858,-8.24,1622471400
239.43,1.44858,1.88811,0.87,1622473200
