closing_price,sentiment_score,sentiment_change,price_change,unix_time
174.53,10.86915,0,0,1622106000
171.11,4.27575,-6.5934,-4.94,1622107800
170.75,11.33868,7.07292,-2.03,1622109600
170.76,12.27774,0.93906,1.53,1622111400
172.99,6.6234,-5.65434,2.28,1622113200
171.67,0.03,-6.5934,-0.48,1622115000
171.92,12.27774,12.24774,-0.59,1622116800
171.2,20.28972,8.01198,-0.2,1622118600
173.2,11.33868,-8.95104,1.81,1622120400
172.76,11.80821,0.46953,1.42,1622122200
174.34,8.98104,-2.82717,2.3,1622124000
172.32,11.80821,2.82717,-2.91,1622125800
174.43,20.28972,8.48151,1.95,1622127600
175.12,16.99302,-3.2967,3.88,1622129400
175.43,11.33868,-5.65434,-0.48,1622131200
174.37,8.04198,-3.2967,-0.87,1622133000
174.43,-0.43953,-8.48151,-2.38,1622170800
174.63,4.74528,5.18481,2.77,1622172600
174,1.44858,-3.2967,-2.39,1622174400
171.45,1.44858,0,-4.12,1622176200
172.23,3.3267,1.88811,-0.96,1622178000
170.83,1.91811,-1.41858,-0.64,1622179800
172.11,4.74528,2.82717,1.67,1622181600
172.22,4.27575,-0.46953,1.7,1622183400
172.45,4.74528,0.46953,-2.18,1622185200
172.58,3.3267,-1.41858,2.78,1622187000
172.3,6.15387,2.82717,-1.74,1622188800
172.26,12.27774,6.12387,1.3,1622190600
172,7.57245,-4.71528,-3.19,1622192400
170.77,8.51151,0.93906,-0.32,1622194200
171.35,8.98104,0.46953,0.11,1622196000
170.69,11.80821,2.82717,-0.01,1622197800
171.66,12.27774,0.46953,-0.57,1622199600
170.85,-0.90906,-13.19679,0.69,1622201400
170.91,11.33868,12.24774,-1.09,1622203200
171.12,11.80821,0.46953,1.96,1622205000
172.61,0.03,-11.77821,0.66,1622206800
172.25,5.21481,5.18481,1.62,1622208600
172.6,5.68434,0.46953,-0.36,1622210400
171.82,10.39962,4.71528,-0.33,1622212200
173.23,11.80821,1.41858,0.44,1622214000
172.27,14.16585,2.35764,0.33,1622215800
171.07,12.75726,-1.41858,-3.84,1622217600
170.23,0.03,-12.72726,-0.42,1622219400
171.43,8.04198,8.01198,-0.04,1622221200
170.83,3.79623,-4.24575,1.15,1622223000
171.71,3.79623,0,0.82,1622224800
170.73,3.79623,0,-0.8,1622226600
173.4,1.91811,-1.88811,3.35,1622257200
171.33,-0.90906,-2.82717,-2.16,1622259000
171.58,1.44858,2.35764,-0.63,1622260800
171.22,1.91811,0.46953,0.66,1622262600
172.42,0.49953,-1.41858,-0.04,1622264400
171.32,1.91811,1.41858,0.03,1622266200
172.11,1.44858,-0.46953,0.55,1622268000
171.42,2.85717,1.41858,-0.1,1622269800
173,0.49953,-2.35764,0.86,1622271600
171.58,1.44858,0.93906,-0.74,1622273400
172.46,6.15387,4.71528,0.81,1622275200
172.44,1.44858,-4.71528,1.34,1622277000
175.17,6.6234,5.18481,3.35,1622278800
174.34,8.98104,2.35764,0.6,1622280600
176.72,7.10292,-1.88811,3.87,1622282400
175.21,4.27575,-2.82717,-1.73,1622284200
177.32,11.33868,7.07292,1.83,1622286000
176.03,16.52349,5.18481,-0.38,1622287800
176.16,10.39962,-6.12387,-0.78,1622289600
175.71,9.45057,-0.93906,0.35,1622291400
177.85,8.51151,-0.93906,1.93,1622293200
177.06,8.98104,0.46953,0.59,1622295000
181.13,5.21481,-3.76623,7.11,1622296800
193.2,5.68434,0.46953,23.65,1622298600
209.55,9.45057,3.76623,22.69,1622300400
245.64,23.11689,13.66632,45.42,1622302200
279.99,20.75925,-2.35764,28.27,1622304000
273.82,23.58642,2.82717,-3.63,1622305800
276.29,28.3017,4.71528,0.88,1622307600
283.33,22.17783,-6.12387,5.42,1622309400
299.37,25.47453,3.2967,9.87,1622311200
320.42,22.64736,-2.82717,12.49,1622313000
288.02,18.4116,-4.24575,-17.39,1622343600
263.36,12.27774,-6.12387,-14.58,1622345400
258.86,7.57245,-4.71528,-3.69,1622347200
269.22,12.75726,5.18481,8.34,1622349000
272.93,14.16585,1.41858,1.71,1622350800
269.04,17.46255,3.2967,-1.92,1622352600
285.36,16.05396,-1.41858,11.05,1622354400
272.02,4.27575,-11.77821,-8,1622356200
281.43,12.75726,8.48151,5.63,1622358000
277.92,12.27774,-0.46953,-1.59,1622359800
282.66,10.86915,-1.41858,2.79,1622361600
279.22,9.93009,-0.93906,-1.76,1622363400
247.86,0.03,-9.90009,-21.24,1622365200
252.41,5.68434,5.65434,4.71,1622367000
268.1,15.10491,9.42057,11.96,1622368800
263.82,9.45057,-5.65434,-2.59,1622370600
262.78,5.21481,-4.24575,-1.6,1622372400
272.5,4.74528,-0.46953,7.93,1622374200
299.85,6.15387,1.41858,18.31,1622376000
299.93,-3.73623,-9.90009,0.38,1622377800
281.83,-5.62434,-1.88811,-11.17,1622379600
273.04,8.98104,14.60538,-4.92,1622381400
277,7.10292,-1.88811,2.29,1622383200
268,8.51151,1.41858,-5.52,1622385000
242.43,2.38764,-6.12387,-18.85,1622386800
230.03,8.98104,6.5934,-9.9,1622388600
230.86,9.45057,0.46953,0.31,1622390400
236.97,11.33868,1.88811,6.45,1622392200
229.53,18.4116,7.07292,-7.77,1622394000
228.73,14.16585,-4.24575,0.26,1622395800
234.76,14.16585,0,5.41,1622397600
239.22,-1.38858,-15.55443,4.75,1622399400
247.23,5.68434,7.07292,5.97,1622430000
245.73,11.33868,5.65434,-0.3,1622431800
243.51,8.51151,-2.82717,-2.32,1622433600
244.04,0.49953,-8.01198,1,1622435400
247.93,27.83217,27.33264,2.29,1622437200
245.13,9.93009,-17.90208,-1.43,1622439000
245.86,-0.90906,-10.83915,0.19,1622440800
254.09,11.80821,12.72726,7.41,1622442600
250.04,10.86915,-0.93906,-4.14,1622444400
248.6,4.74528,-6.12387,-0.24,1622446200
251.91,3.3267,-1.41858,2.23,1622448000
252.22,10.86915,7.54245,0.79,1622449800
253.99,11.80821,0.93906,0.41,1622451600
245.41,9.45057,-2.35764,-5.95,1622453400
252.35,11.33868,1.88811,5.4,1622455200
243.06,2.38764,-8.95104,-6.91,1622457000
235.85,7.57245,5.18481,-7.16,1622458800
219.49,14.63538,7.07292,-14.09,1622460600
216.33,8.51151,-6.12387,-3.99,1622462400
229.64,8.04198,-0.46953,15.64,1622464200
230.34,6.15387,-1.88811,-0.52,1622466000
228.68,13.22679,7.07292,-0.51,1622467800
247.82,8.98104,-4.24575,18.14,1622469600
237.28,3.79623,-5.18481,-8.24,1622471400
239.43,0.49953,-3.2967,0.87,1622473200
