closing_price,sentiment_score,sentiment_change,price_change,unix_time
662.42,-0.43953,0,0,1622106000
653.05,1.44858,1.88811,-1.04,1622107800
643.52,0.49953,-0.93906,-1.38,1622109600
643.39,0.49953,0,0.12,1622111400
645.66,1.44858,0.93906,0.1,1622113200
641.68,0.03,-1.41858,-0.52,1622115000
645.32,0.49953,0.46953,0.66,1622116800
643,0.49953,0,-0.44,1622118600
641.4,0.03,-0.46953,-0.05,1622120400
638.51,0.96906,0.93906,-0.57,1622122200
635.59,0.49953,-0.46953,-0.39,1622124000
622.21,-0.43953,-0.93906,-1.62,1622125800
614.62,0.49953,0.93906,-1.17,1622127600
614.21,0.49953,0,0.09,1622129400
616.79,0.03,-0.46953,0.15,1622131200
614.93,0.96906,0.93906,-0.25,1622133000
595.33,0.49953,-0.46953,-2.53,1622170800
585.12,0.03,-0.46953,-1.59,1622172600
578.42,0.49953,0.46953,-0.81,1622174400
556.74,-1.38858,-1.88811,-3.36,1622176200
563.06,0.96906,2.35764,0.95,1622178000
570.33,-0.43953,-1.41858,1.27,1622179800
575.12,2.38764,2.82717,0.56,1622181600
578.01,0.49953,-1.88811,0.58,1622183400
579.46,0.96906,0.46953,-0.01,1622185200
577.43,1.91811,0.93906,-0.29,1622187000
577.21,0.49953,-1.41858,0.15,1622188800
569.37,-1.85811,-2.35764,-1.28,1622190600
553.95,2.38764,4.24575,-2.11,1622192400
588.05,1.44858,-0.93906,4.93,1622194200
598.98,2.38764,0.93906,1.58,1622196000
585.33,2.85717,0.46953,-1.75,1622197800
576.67,-1.38858,-4.24575,-1.39,1622199600
581.9,3.3267,4.71528,0.93,1622201400
574.98,1.44858,-1.88811,-1.2,1622203200
591.63,1.91811,0.46953,2.46,1622205000
585.05,1.44858,-0.46953,-0.75,1622206800
590.54,0.96906,-0.46953,0.65,1622208600
587.55,1.44858,0.46953,-0.26,1622210400
610.6,1.44858,0,3.1,1622212200
599.13,1.91811,0.46953,-1.61,1622214000
600.33,-0.90906,-2.82717,0.35,1622215800
611.62,0.96906,1.88811,1.45,1622217600
614.23,0.49953,-0.46953,0.51,1622219400
615.43,0.49953,0,-0.03,1622221200
616.74,0.49953,0,0.17,1622223000
617.83,0.96906,0.46953,0.33,1622224800
617.07,0.03,-0.93906,-0.24,1622226600
621.6,0.03,0,0.78,1622257200
615.43,0.03,0,-1.03,1622259000
625.43,0.49953,0.46953,1.39,1622260800
625.34,-0.90906,-1.41858,0.16,1622262600
623.62,0.03,0.93906,-0.37,1622264400
619.71,0.96906,0.93906,-0.37,1622266200
623.79,1.91811,0.93906,0.36,1622268000
628.93,1.44858,-0.46953,0.7,1622269800
628.73,0.03,-1.41858,0.14,1622271600
625.22,0.49953,0.46953,-0.61,1622273400
610.01,0.49953,0,-1.92,1622275200
612.83,0.96906,0.46953,0.19,1622277000
611.31,0.03,-0.93906,-0.2,1622278800
607.34,0.03,0,-0.36,1622280600
621.14,3.3267,3.2967,1.79,1622282400
626.4,0.49953,-2.82717,0.88,1622284200
628.84,-0.90906,-1.41858,0.13,1622286000
636.7,1.91811,2.82717,1.07,1622287800
628.18,0.49953,-1.41858,-0.96,1622289600
634.05,0.96906,0.46953,0.66,1622291400
625.84,1.91811,0.93906,-0.95,1622293200
628.43,-0.90906,-2.82717,0.15,1622295000
627.09,2.85717,3.76623,-0.17,1622296800
636.61,0.96906,-1.88811,1.47,1622298600
643.17,0.96906,0,0.74,1622300400
639.47,0.49953,-0.46953,-0.34,1622302200
638.43,0.49953,0,-0.33,1622304000
637.43,1.44858,0.93906,-0.13,1622305800
632.48,0.03,-1.41858,-0.48,1622307600
635.71,-1.38858,-1.41858,0.29,1622309400
637.89,1.44858,2.82717,0.44,1622311200
639.63,1.44858,0,0.03,1622313000
634.91,0.03,-1.41858,-0.63,1622343600
629.33,0.49953,0.46953,-0.57,1622345400
629.52,0.03,-0.46953,-0.1,1622347200
633.48,0.49953,0.46953,0.69,1622349000
634.43,0.03,-0.46953,-0.06,1622350800
628.78,0.49953,0.46953,-0.76,1622352600
629.28,0.49953,0,0.24,1622354400
622.12,0.03,-0.46953,-1.1,1622356200
618.21,0.49953,0.46953,-0.38,1622358000
617.84,0.49953,0,-0.24,1622359800
624.34,0.96906,0.46953,0.9,1622361600
621.76,-0.43953,-1.41858,-0.16,1622363400
622.14,0.49953,0.93906,-0.08,1622365200
618.93,0.49953,0,-0.28,1622367000
614.43,1.91811,1.41858,-0.81,1622368800
615.08,1.91811,0,0.08,1622370600
598.82,1.91811,0,-2.06,1622372400
587.67,0.03,-1.88811,-1.72,1622374200
588.77,1.44858,1.41858,0.31,1622376000
601.03,1.44858,0,1.55,1622377800
600.85,0.49953,-0.93906,-0.02,1622379600
600.83,0.49953,0,0.17,1622381400
593.67,0.03,-0.46953,-1.14,1622383200
584.7,0.49953,0.46953,-1.11,1622385000
583.48,1.44858,0.93906,-0.38,1622386800
576.63,0.96906,-0.46953,-0.99,1622388600
583.33,0.49953,-0.46953,1.16,1622390400
580.12,0.96906,0.46953,-0.6,1622392200
577.71,2.85717,1.88811,-0.18,1622394000
580.53,0.49953,-2.35764,0.2,1622395800
575.44,-0.90906,-1.41858,-0.74,1622397600
560.33,0.96906,1.88811,-2.02,1622399400
582,0.96906,0,3.09,1622430000
584.21,0.03,-0.93906,0.48,1622431800
582.43,0.03,0,-0.46,1622433600
569.43,0.03,0,-1.9,1622435400
565.83,0.03,0,-0.33,1622437200
563.07,1.91811,1.88811,-0.55,1622439000
564.21,0.03,-1.88811,0.33,1622440800
576.33,-0.90906,-0.93906,1.59,1622442600
574.68,0.03,0.93906,-0.23,1622444400
582.33,0.96906,0.93906,1.31,1622446200
